show_id,title,director,cast,country,release_year,rating,duration,listed_in,description
s27,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan","United States, Canada",2019,PG-13,115 min,"Action-Adventure, Family, Science Fiction","When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet."
s165,The Kid Who Would Be King,Joe Cornish,"Louis Ashbourne Serkis, Tom Taylor, Rebecca Ferguson, Patrick Stewart, Denise Gough, Dean Chaumoo","United Kingdom, United States",2019,PG,121 min,"Action-Adventure, Coming of Age, Family","When a kid discovers the legendary sword, Excalibur, he and his friends join Merlin to fight evil!"
s194,Disney My Music Story: Perfume,Kentaro Takayanagi,"a-chan , KASHIYUKA , NOCCHi",,2019,,53 min,"Biographical, Documentary, Music",J-Pop band Perfume shares their passion for music and Disney memories.
s222,Disney My Music Story: Yoshiki,Kentaro Takayanagi,YOSHIKI,"United States, Japan",2019,TV-PG,48 min,"Biographical, Documentary, Music",Yoshiki from â€œX Japanâ€ performs two Disney songs and talks about his music.
s241,Great Shark Chow Down,Mark Woodward,Dan Nachtrab,,2019,TV-PG,45 min,"Animals & Nature, Documentary",Great Shark Chow Down â€“ prepare for a feast of extraordinary shark-feeding events.
s265,Man vs. Shark,,"Jeremiah Sullivan, Dave Hoffman",United States,2019,TV-PG,45 min,"Animals & Nature, Documentary",Marine biologist attempts to get bitten by a deadly tiger shark and survive
s288,Petra: Secrets of the Ancient Builders,"Thierry Fessard, Yohann Thiriet",Bert Morris,United Arab Emirates,2019,TV-G,45 min,"Documentary, Historical","Discover the technical prowess behind Petra, a wonder in the middle of the desert."
s289,Ultimate Viking Sword,Peter Yost,Jay Sanders,,2019,TV-PG,45 min,"Documentary, Historical","National Geographic reconstructs the Ulfberht, a Viking warriorâ€™s ultimate weapon."
s304,Pompeii: Secrets Of The Dead,Ben Finney,Maite Jauregui,United States,2019,TV-PG,45 min,"Documentary, Historical",Forensic experts scan Pompeiiâ€™s victims to investigate why they didnâ€™t escape the eruption.
s313,Oil Spill of The Century,,LoÃ¯ck Peyron,,2019,TV-PG,45 min,"Documentary, Historical",LoÃ¯ck Peyron investigates the 1978 Amoco Cadiz oil spill and its impact.
s325,The Giant Robber Crab,Moritz Katz,Colin Solman,United States,2019,TV-PG,44 min,"Animals & Nature, Documentary","As we follow the robberâ€™s life cycle, we learn that crabs are much more than creepy crawlies."
s335,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,"United Kingdom, France",2019,TV-PG,45 min,Documentary,"On April 15, 2019, Parisâ€™ firefighters gave everything to save the Notre Dame cathedral."
s366,Star Wars: Galaxy's Edge-Adventure Awaits,,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",United States,2019,TV-PG,81 min,"Documentary, Family",Celebrating Disneyâ€™s new land that brings Star Wars to life!
s393,Lost City of Machu Picchu,,Craig Sechler,United States,2019,TV-14,44 min,"Documentary, Family",Who were the mysterious people who built Machu Picchu and why?
s433,Chasing the Equinox,Kenny Scott,Stefan Frank,,2019,TV-PG,45 min,Documentary,Ancient civilizations shared an incredible knowledge of the sun.
s440,Women Of Impact: Changing The World,,Julianna Margulies,United States,2019,TV-PG,44 min,"Documentary, Historical",How will you make the world a better place? Hear stories of the amazing women changing our world.
s454,Maleficent: Mistress of Evil,Joachim RÃ¸nning,"Angelina Jolie, Elle Fanning, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein","United States, United Kingdom, Canada",2019,PG,121 min,"Action-Adventure, Family, Fantasy",The story of Disney's most iconic villain continues.
s455,Star Wars: The Rise of Skywalker (Episode IX),J.J. Abrams,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac",United States,2019,PG-13,142 min,"Action-Adventure, Family, Science Fiction",The landmark Skywalker saga comes to a conclusion.
s495,Disneynature Penguins,"Alastair Fothergill, Jeff Wilson",Ed Helms,United States,2019,G,77 min,"Animals & Nature, Documentary, Family",Steve the penguin embarks on an epic quest to find love and start a family.
s531,Frozen 2,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling Brown, Evan Wood",United States,2019,PG,107 min,"Action-Adventure, Animation, Family",Elsa journeys into the unknown to uncover truths about the past.
s540,Viking Warrior Women,Stuart Strickson,Ella Al-Shamahi,United Kingdom,2019,TV-PG,44 min,"Documentary, Historical",New discoveries challenge everything we thought we knew about Viking warriors.
s543,Marvel Rising: Operation Shuri,Chris Rutkowski,"Dee Baker, Dove Cameron, Jessica DiCicco, Skai Jackson, Kathreen Khavari, Daisy Lightfoot",United States,2019,TV-Y7,23 min,"Action-Adventure, Animation, Coming of Age",The Secret Warriors show Shuri how to be a teenager.
s544,Marvel Rising: Playing With Fire,Sol Choi,"Dee Baker, Dove Cameron, Gary Cole, Kathreen Khavari, Meera Kumbhani, Tony Mirrcandani",United States,2019,TV-Y7,45 min,"Action-Adventure, Animation, Coming of Age",The Secret Warriors help Inferno recover his powers.
s553,Toy Story 4,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw",United States,2019,G,101 min,"Action-Adventure, Animation, Comedy",Pixar Animation Studios proudly presents the adventure of a lifetime!
s554,Descendants 3,Kenny Ortega,"Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jefferey",United States,2019,TV-G,109 min,"Coming of Age, Fantasy, Musical",A barrier breach jeopardizes the safety of Auradon.
s558,The Lion King,Jon Favreau,"Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani","United States, United Kingdom, South Africa",2019,PG,125 min,"Action-Adventure, Coming of Age, Drama",Disneyâ€™s The Lion King comes to life in a whole new way.
s571,Aladdin (2019),Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban, Nasim Pedrad",United States,2019,PG,135 min,"Action-Adventure, Family, Fantasy",From Disney comes the thrilling live-action adaptation of Aladdin.
s594,Marvel Rising: Battle of The Bands,,"Dee Baker, Dove Cameron, Skai Jackson, Kathreen Khavari, Kamil McFadden, Tyler Posey",United States,2019,TV-Y7,23 min,"Action-Adventure, Animation, Superhero",Gwen (Ghost-Spider) has to defeat Screaming Mimi both on the streets and on the stage.
s601,Forky Asks a Question: What is a Pet?,Bob Peterson,"Tony Hale, Aloma Wright, Bob Peterson",United States,2019,TV-G,7 min,"Animation, Comedy, Family","Forky meets Rib Tickles, and is schooled on the dangers of law enforcement."
s603,Forky Asks a Question: What is a Leader?,Bob Peterson,"Tony Hale, Bonnie Hunt, Bob Peterson",United States,2019,TV-G,6 min,"Animation, Comedy, Family","Dolly teaches Forky about the qualities of a good leader, and he puts those qualities to the test!"
s605,High School Musical: The Musical: The Series: The Special,Clayton Cogswell,"Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett, Dara Renee",United States,2019,TV-G,23 min,"Coming of Age, Documentary, Drama",An exclusive look into the making of High School Musical: The Musical: The Series.
